texto,categoria,urgencia
"Por favor prioricen mi caso, es sumamente urgente. El calendario de la plataforma no sincroniza bien con Google Calendar.",soporte técnico,alta
"Agradeceria una respuesta en los proximos dias. Estoy muy decepcionado con la calidad de el panel de control, no cumple lo prometido.",queja,media
"No hay prisa alguna, solo queria dejarlo comentado: Necesito la factura fiscal con los datos de mi empresa para el pedido 1461.",facturación,baja
"No hay prisa alguna, solo queria dejarlo comentado: Que metodos de pago aceptan para el plan premium.",información general,baja
"Solo quiero comentar lo siguiente, no es urgente. el panel de control se cierra solo cada vez que intento subir un archivo.",soporte técnico,baja
En algun momento les agradeceria revisar esto: Pedi hablar con un supervisor y me colgaron la llamada.,queja,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Se me duplico el cobro anual de la plataforma, necesito que me regresen uno.",facturación,media
En algun momento les agradeceria revisar esto: Nadie en el equipo de soporte parece saber como resolver mi caso.,queja,baja
"Cuando puedan, sin urgencia: No recibo las notificaciones push en mi celular desde la actualizacion.",soporte técnico,baja
Me gustaria que lo revisaran esta semana si es posible. Quiero cambiar el plan de facturacion de mensual a anual.,facturación,media
Urgente: Quiero saber por que aparecen dos cargos identicos de $204 este mes.,facturación,alta
"Cuando puedan, sin urgencia: Podrian confirmarme si el servicio esta disponible en mi pais.",información general,baja
En algun momento les agradeceria revisar esto: Donde puedo consultar los terminos y condiciones del servicio.,información general,baja
Agradeceria una respuesta en los proximos dias. Quisiera saber si la plataforma es compatible con Mac y con Windows.,información general,media
Esto es una emergencia para mi negocio. No recibo las notificaciones push en mi celular desde la actualizacion.,soporte técnico,alta
"Es critico, necesito una respuesta hoy mismo. Voy a reportar esta empresa porque no respetan lo que ofrecen en su publicidad.",queja,alta
En algun momento les agradeceria revisar esto: Necesito informacion sobre las tarifas para mas de 10 usuarios.,información general,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. mi suscripcion consume demasiada memoria y se congela el navegador.",soporte técnico,alta
Me gustaria que lo revisaran esta semana si es posible. El sistema muestra datos desactualizados desde hace 3 dias.,soporte técnico,media
"No es una emergencia, pero me gustaria resolverlo pronto. No puedo creer que despues de tantos correos nadie me haya dado una solucion.",queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. Nadie en el equipo de soporte parece saber como resolver mi caso.",queja,media
"Cuando tengan oportunidad, Como puedo invitar a un compañero de trabajo a mi cuenta de la app movil.",información general,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Se me duplico el cobro anual de el servicio web, necesito que me regresen uno.",facturación,alta
Agradeceria una respuesta en los proximos dias. Como puedo invitar a un compañero de trabajo a mi cuenta de mi suscripcion.,información general,media
Agradeceria una respuesta en los proximos dias. Cancele mi cuenta hace 15 dias y todavia me siguen cobrando.,queja,media
"Cuando tengan oportunidad, Como puedo actualizar mis datos de facturacion.",información general,media
"Por favor prioricen mi caso, es sumamente urgente. El servicio al cliente me trato de forma grosera en el chat de soporte.",queja,alta
Que diferencia hay entre el soporte estandar y el soporte prioritario.,información general,media
"Necesito una solucion ya, esto no puede esperar. Pedi hablar con un supervisor y me colgaron la llamada.",queja,alta
"Solo quiero comentar lo siguiente, no es urgente. Cancele mi cuenta hace 9 dias y todavia me siguen cobrando.",queja,baja
"Solo quiero comentar lo siguiente, no es urgente. Que diferencia hay entre el soporte estandar y el soporte prioritario.",información general,baja
"No hay prisa alguna, solo queria dejarlo comentado: Que metodos de pago aceptan para el servicio web.",información general,baja
Urgente: El representante me dejo en espera mas de una hora y luego colgo la llamada.,queja,alta
"Por favor prioricen mi caso, es sumamente urgente. Se me renovo la suscripcion automaticamente y no queria renovarla.",facturación,alta
"Por favor prioricen mi caso, es sumamente urgente. El boton de exportar datos no responde en ningun navegador.",soporte técnico,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. La pantalla se queda cargando indefinidamente al abrir el panel de control.",soporte técnico,alta
Esto es una emergencia para mi negocio. Ya escribi tres veces por este mismo tema y siempre me responden lo mismo sin ayudar.,queja,alta
La integracion con la API deja de responder despues de unos minutos.,soporte técnico,baja
"Por favor atiendan esto lo antes posible, no puedo esperar mas. La pantalla se queda cargando indefinidamente al abrir mi cuenta.",soporte técnico,alta
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Mi factura del pedido 9019 no coincide con el plan que contrate.",facturación,alta
Urgente: El descuento que me ofrecieron no se aplico en la factura 8434.,facturación,alta
Me gustaria que lo revisaran esta semana si es posible. Como puedo invitar a un compañero de trabajo a mi cuenta de el sistema.,información general,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Estoy muy decepcionado con la calidad de el servicio web, no cumple lo prometido.",queja,alta
El descuento que me ofrecieron no se aplico en la factura 1423.,facturación,baja
Agradeceria una respuesta en los proximos dias. El cupon de descuento que aplique no se ve reflejado en el total a pagar.,facturación,media
"Cuando puedan, sin urgencia: Es la peor experiencia que he tenido con un servicio en linea.",queja,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Me prometieron una solucion en 24 horas y ya pasaron 12 dias sin novedades.",queja,alta
"Necesito una solucion ya, esto no puede esperar. el servicio web muestra un error de certificado de seguridad al conectarse.",soporte técnico,alta
"No es una emergencia, pero me gustaria resolverlo pronto. Nadie en el equipo de soporte parece saber como resolver mi caso.",queja,media
Agradeceria una respuesta en los proximos dias. Me prometieron una solucion en 24 horas y ya pasaron 11 dias sin novedades.,queja,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. El nivel de servicio ha bajado muchisimo comparado con hace un año.",queja,alta
"Es critico, necesito una respuesta hoy mismo. Cual es la diferencia de precio entre el plan actual y el plan superior.",facturación,alta
"Cuando tengan oportunidad, No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,media
"Sin ninguna prisa, El cupon de descuento que aplique no se ve reflejado en el total a pagar.",facturación,baja
"Necesito una solucion ya, esto no puede esperar. La aplicacion no carga las imagenes y se queda en blanco.",soporte técnico,alta
Me gustaria que lo revisaran esta semana si es posible. Esta es la tercera vez que reporto el mismo problema con el panel de control y nadie lo resuelve.,queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. El metodo de pago fue rechazado pero igual me generaron el cobro.",facturación,media
"Necesito una solucion ya, esto no puede esperar. Se me duplico el cobro anual de el sistema, necesito que me regresen uno.",facturación,alta
"No es una emergencia, pero me gustaria resolverlo pronto. Cuales son los horarios de atencion al cliente.",información general,media
"No es una emergencia, pero me gustaria resolverlo pronto. No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,media
"Es critico, necesito una respuesta hoy mismo. Nadie en el equipo de soporte parece saber como resolver mi caso.",queja,alta
En algun momento les agradeceria revisar esto: Quisiera saber si la app movil es compatible con Mac y con Windows.,información general,baja
"Necesito una solucion ya, esto no puede esperar. No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,alta
Donde puedo ver el historial completo de mis pedidos anteriores.,información general,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,alta
Esto es una emergencia para mi negocio. Me siguen cobrando la plataforma aunque cancele el servicio hace tiempo.,facturación,alta
Me aparece un mensaje de error que dice 'token invalido' al entrar.,soporte técnico,media
"Por favor prioricen mi caso, es sumamente urgente. La sincronizacion entre el celular y la web de el servicio web no funciona.",soporte técnico,alta
"No hay prisa alguna, solo queria dejarlo comentado: Quisiera saber si la app movil es compatible con Mac y con Windows.",información general,baja
"Por favor prioricen mi caso, es sumamente urgente. Solicito la cancelacion de mi suscripcion y el reembolso proporcional.",facturación,alta
"No es una emergencia, pero me gustaria resolverlo pronto. Necesito la factura fiscal con los datos de mi empresa para el pedido 3913.",facturación,media
"Necesito una solucion ya, esto no puede esperar. Donde puedo consultar los terminos y condiciones del servicio.",información general,alta
"Es critico, necesito una respuesta hoy mismo. mi suscripcion se cierra solo cada vez que intento subir un archivo.",soporte técnico,alta
"Necesito una solucion ya, esto no puede esperar. Quiero presentar una queja formal por el trato recibido en la sucursal.",queja,alta
"Sin ninguna prisa, Estoy a punto de cancelar mi cuenta por lo mal que me han atendido.",queja,baja
"Cuando tengan oportunidad, Quisiera cambiar mi ciclo de facturacion, me gustaria pagar cada semana.",facturación,media
Esto es una emergencia para mi negocio. Me aparece un mensaje de error que dice 'token invalido' al entrar.,soporte técnico,alta
"Por favor atiendan esto lo antes posible, no puedo esperar mas. El servicio al cliente me trato de forma grosera en el chat de soporte.",queja,alta
"No es una emergencia, pero me gustaria resolverlo pronto. Ofrecen algun periodo de prueba gratuito antes de contratar la plataforma.",información general,media
"No es una emergencia, pero me gustaria resolverlo pronto. la app movil se cierra solo cada vez que intento subir un archivo.",soporte técnico,media
"Solo quiero comentar lo siguiente, no es urgente. No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,baja
Me gustaria que lo revisaran esta semana si es posible. Necesito una copia de la factura del mes pasado para mi contabilidad.,facturación,media
Esto es una emergencia para mi negocio. Me prometieron una solucion en 24 horas y ya pasaron 14 dias sin novedades.,queja,alta
"No es una emergencia, pero me gustaria resolverlo pronto. No reconozco un cargo de $148 en mi tarjeta relacionado con mi cuenta.",facturación,media
"Cuando puedan, sin urgencia: El soporte tecnico cerro mi ticket sin resolver el problema.",queja,baja
"No hay prisa alguna, solo queria dejarlo comentado: Me cobraron $316 de mas en la factura de este mes y no entiendo por que.",facturación,baja
"Cuando puedan, sin urgencia: Me aparece un mensaje de error que dice 'token invalido' al entrar.",soporte técnico,baja
En algun momento les agradeceria revisar esto: Tienen alguna guia para empezar a usar la plataforma.,información general,baja
"Sin ninguna prisa, Que metodos de pago aceptan para la plataforma.",información general,baja
En algun momento les agradeceria revisar esto: Me podrian compartir el enlace a la documentacion tecnica de la API.,información general,baja
"Cuando tengan oportunidad, El representante me dejo en espera mas de una hora y luego colgo la llamada.",queja,media
En algun momento les agradeceria revisar esto: Necesito una copia de la factura del mes pasado para mi contabilidad.,facturación,baja
"Es critico, necesito una respuesta hoy mismo. Me gustaria saber si puedo pagar el plan premium en varias mensualidades.",facturación,alta
Esto es una emergencia para mi negocio. Cancele mi cuenta hace 3 dias y todavia me siguen cobrando.,queja,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Quiero presentar una queja formal por el trato recibido en la sucursal.",queja,alta
"Cuando tengan oportunidad, Se me duplico el cobro anual de el sistema, necesito que me regresen uno.",facturación,media
"Por favor prioricen mi caso, es sumamente urgente. Se me duplico el cobro anual de la app movil, necesito que me regresen uno.",facturación,alta
"Cuando tengan oportunidad, Por que el precio de el plan premium subio sin previo aviso.",facturación,media
"En algun momento les agradeceria revisar esto: Estoy muy decepcionado con la calidad de la app movil, no cumple lo prometido.",queja,baja
Me gustaria que lo revisaran esta semana si es posible. Necesito actualizar la tarjeta de credito con la que pago mi cuenta.,facturación,media
"Es critico, necesito una respuesta hoy mismo. Cual es la diferencia de precio entre el plan actual y el plan superior.",facturación,alta
"Por favor prioricen mi caso, es sumamente urgente. No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,alta
Esto es una emergencia para mi negocio. Ya escribi tres veces por este mismo tema y siempre me responden lo mismo sin ayudar.,queja,alta
Quisiera saber si el servicio web es compatible con Mac y con Windows.,información general,media
"Sin ninguna prisa, Estoy a punto de cancelar mi cuenta por lo mal que me han atendido.",queja,baja
"Es critico, necesito una respuesta hoy mismo. No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,alta
El soporte tecnico cerro mi ticket sin resolver el problema.,queja,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Recibo el error 500 al intentar guardar los cambios en mi suscripcion.",soporte técnico,alta
"Urgente: Llevo 9 dias esperando respuesta y nadie me contesta, es inaceptable.",queja,alta
"Sin ninguna prisa, La pantalla se queda cargando indefinidamente al abrir el plan premium.",soporte técnico,baja
En que idiomas esta disponible la interfaz de el servicio web.,información general,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Mi cuenta se cerro sola en medio de una sesion de trabajo, varias veces.",soporte técnico,alta
La integracion con la API deja de responder despues de unos minutos.,soporte técnico,media
Urgente: Recibo el error 500 al intentar guardar los cambios en mi suscripcion.,soporte técnico,alta
"Cuando puedan, sin urgencia: Tienen algun plan especial para estudiantes o para organizaciones sin fines de lucro.",información general,baja
Me gustaria saber si puedo pagar la app movil en varias mensualidades.,facturación,baja
"Es critico, necesito una respuesta hoy mismo. La aplicacion no carga las imagenes y se queda en blanco.",soporte técnico,alta
"Se me duplico el cobro anual de el plan premium, necesito que me regresen uno.",facturación,baja
"Solo quiero comentar lo siguiente, no es urgente. Donde puedo consultar los terminos y condiciones del servicio.",información general,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. La integracion con la API deja de responder despues de unos minutos.",soporte técnico,alta
"No hay prisa alguna, solo queria dejarlo comentado: Quiero saber por que aparecen dos cargos identicos de $183 este mes.",facturación,baja
En algun momento les agradeceria revisar esto: La integracion con la API deja de responder despues de unos minutos.,soporte técnico,baja
"Solo quiero comentar lo siguiente, no es urgente. En que idiomas esta disponible la interfaz de la plataforma.",información general,baja
Agradeceria una respuesta en los proximos dias. La pantalla se queda cargando indefinidamente al abrir mi cuenta.,soporte técnico,media
"Es critico, necesito una respuesta hoy mismo. Perdi acceso a mi cuenta despues de la ultima actualizacion.",soporte técnico,alta
"No hay prisa alguna, solo queria dejarlo comentado: No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,baja
"No hay prisa alguna, solo queria dejarlo comentado: No reconozco un cargo de $153 en mi tarjeta relacionado con mi suscripcion.",facturación,baja
En algun momento les agradeceria revisar esto: Pedi hablar con un supervisor y me colgaron la llamada.,queja,baja
"Necesito una solucion ya, esto no puede esperar. El soporte tecnico cerro mi ticket sin resolver el problema.",queja,alta
Necesito una copia de la factura del mes pasado para mi contabilidad.,facturación,media
"Sin ninguna prisa, En que idiomas esta disponible la interfaz de el sistema.",información general,baja
"Cuando tengan oportunidad, Quisiera cambiar mi ciclo de facturacion, me gustaria pagar cada semana.",facturación,media
"Cuando tengan oportunidad, El metodo de pago fue rechazado pero igual me generaron el cobro.",facturación,media
"Solo quiero comentar lo siguiente, no es urgente. Tienen algun plan especial para estudiantes o para organizaciones sin fines de lucro.",información general,baja
"Por favor prioricen mi caso, es sumamente urgente. El cupon de descuento que aplique no se ve reflejado en el total a pagar.",facturación,alta
Me gustaria que lo revisaran esta semana si es posible. Ofrecen algun periodo de prueba gratuito antes de contratar el panel de control.,información general,media
"Me gustaria que lo revisaran esta semana si es posible. Se me duplico el cobro anual de el panel de control, necesito que me regresen uno.",facturación,media
"No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,media
"No hay prisa alguna, solo queria dejarlo comentado: La sincronizacion entre el celular y la web de mi cuenta no funciona.",soporte técnico,baja
"Por favor prioricen mi caso, es sumamente urgente. No puedo creer que despues de tantos correos nadie me haya dado una solucion.",queja,alta
Mi factura del pedido 8062 no coincide con el plan que contrate.,facturación,media
"Necesito ayuda inmediata, esto esta afectando mi trabajo. La integracion con la API deja de responder despues de unos minutos.",soporte técnico,alta
"No hay prisa alguna, solo queria dejarlo comentado: Estoy muy decepcionado con la calidad de el servicio web, no cumple lo prometido.",queja,baja
Como contacto al equipo de ventas para una demo.,información general,baja
Me gustaria que lo revisaran esta semana si es posible. La aplicacion no carga las imagenes y se queda en blanco.,soporte técnico,media
Esta es la tercera vez que reporto el mismo problema con la plataforma y nadie lo resuelve.,queja,media
"Sin ninguna prisa, Estoy a punto de cancelar mi cuenta por lo mal que me han atendido.",queja,baja
"Urgente: No puedo iniciar sesion en el plan premium desde ayer, me marca error de servidor.",soporte técnico,alta
Agradeceria una respuesta en los proximos dias. Donde puedo ver el historial completo de mis pedidos anteriores.,información general,media
"Agradeceria una respuesta en los proximos dias. No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,media
Quisiera saber si el plan premium es compatible con Mac y con Windows.,información general,baja
Me siguen cobrando mi suscripcion aunque cancele el servicio hace tiempo.,facturación,media
"Cuando tengan oportunidad, Me siento estafado, pague por un servicio premium que nunca funciono bien.",queja,media
Agradeceria una respuesta en los proximos dias. No me llega el recibo de pago del pedido 2354 a mi correo.,facturación,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. No me llega el correo de verificacion para activar mi cuenta.",soporte técnico,alta
"Cuando tengan oportunidad, Cual es la diferencia de precio entre el plan actual y el plan superior.",facturación,media
"Estoy muy decepcionado con la calidad de el sistema, no cumple lo prometido.",queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. No puedo adjuntar archivos mayores a 5 MB en mi suscripcion.",soporte técnico,media
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Quiero presentar una queja formal por el trato recibido en la sucursal.",queja,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. No puedo cambiar mi contrasena, el formulario no guarda los cambios.",soporte técnico,alta
"Es critico, necesito una respuesta hoy mismo. Cada vez que llamo me transfieren con alguien distinto y repito todo de nuevo.",queja,alta
"No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,baja
"Necesito la factura a nombre de mi empresa, no a mi nombre personal.",facturación,baja
"Cuando tengan oportunidad, Me aparece un mensaje de error que dice 'token invalido' al entrar.",soporte técnico,media
"No es una emergencia, pero me gustaria resolverlo pronto. Necesito informacion sobre las tarifas para mas de 10 usuarios.",información general,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Ya escribi tres veces por este mismo tema y siempre me responden lo mismo sin ayudar.",queja,alta
En algun momento les agradeceria revisar esto: Que metodos de pago aceptan para el panel de control.,información general,baja
"Por favor atiendan esto lo antes posible, no puedo esperar mas. El descuento que me ofrecieron no se aplico en la factura 6347.",facturación,alta
"Cuando puedan, sin urgencia: Podrian confirmarme si el servicio esta disponible en mi pais.",información general,baja
La plataforma se cierra solo cada vez que intento subir un archivo.,soporte técnico,media
"Cuando tengan oportunidad, Ya escribi tres veces por este mismo tema y siempre me responden lo mismo sin ayudar.",queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. Quisiera cambiar mi ciclo de facturacion, me gustaria pagar cada semana.",facturación,media
"Agradeceria una respuesta en los proximos dias. Mi cuenta se cerro sola en medio de una sesion de trabajo, varias veces.",soporte técnico,media
"Por favor prioricen mi caso, es sumamente urgente. Estoy muy decepcionado con la calidad de el plan premium, no cumple lo prometido.",queja,alta
"Solo quiero comentar lo siguiente, no es urgente. Me podrian compartir el enlace a la documentacion tecnica de la API.",información general,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Quiero cambiar el plan de facturacion de mensual a anual.",facturación,media
"Cuando puedan, sin urgencia: El servicio al cliente me trato de forma grosera en el chat de soporte.",queja,baja
Urgente: Me prometieron una solucion en 24 horas y ya pasaron 14 dias sin novedades.,queja,alta
"Es critico, necesito una respuesta hoy mismo. El cupon de descuento que aplique no se ve reflejado en el total a pagar.",facturación,alta
"Cuando tengan oportunidad, Se me duplico el cobro anual de mi cuenta, necesito que me regresen uno.",facturación,media
"Cuando tengan oportunidad, Los reportes de mi cuenta tardan mas de 10 minutos en generarse.",soporte técnico,media
"Por favor prioricen mi caso, es sumamente urgente. No puedo adjuntar archivos mayores a 5 MB en mi suscripcion.",soporte técnico,alta
Agradeceria una respuesta en los proximos dias. Se me renovo la suscripcion automaticamente y no queria renovarla.,facturación,media
"No hay prisa alguna, solo queria dejarlo comentado: Cuanto tiempo tarda en procesarse una solicitud de baja.",información general,baja
"Cuando puedan, sin urgencia: Me cobraron $244 de mas en la factura de este mes y no entiendo por que.",facturación,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. No puedo creer que despues de tantos correos nadie me haya dado una solucion.",queja,alta
Me gustaria que lo revisaran esta semana si es posible. Me aparece un mensaje de error que dice 'token invalido' al entrar.,soporte técnico,media
"No es una emergencia, pero me gustaria resolverlo pronto. En que idiomas esta disponible la interfaz de el sistema.",información general,media
"Solo quiero comentar lo siguiente, no es urgente. Como puedo invitar a un compañero de trabajo a mi cuenta de mi suscripcion.",información general,baja
"No hay prisa alguna, solo queria dejarlo comentado: el plan premium muestra un error de certificado de seguridad al conectarse.",soporte técnico,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Tienen alguna guia para empezar a usar mi suscripcion.",información general,alta
Agradeceria una respuesta en los proximos dias. Nadie en el equipo de soporte parece saber como resolver mi caso.,queja,media
"Necesito una solucion ya, esto no puede esperar. Necesito actualizar la tarjeta de credito con la que pago la app movil.",facturación,alta
"No es una emergencia, pero me gustaria resolverlo pronto. Se me duplico el cobro anual de el panel de control, necesito que me regresen uno.",facturación,media
Esto es una emergencia para mi negocio. Cancele mi cuenta hace 9 dias y todavia me siguen cobrando.,queja,alta
Como puedo actualizar mis datos de facturacion.,información general,baja
"Necesito la factura a nombre de mi empresa, no a mi nombre personal.",facturación,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. El calendario de el servicio web no sincroniza bien con Google Calendar.",soporte técnico,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. La integracion con la API deja de responder despues de unos minutos.",soporte técnico,alta
"Cuando puedan, sin urgencia: Quisiera saber si la app movil tiene version para empresas.",información general,baja
"Necesito una solucion ya, esto no puede esperar. Recibo el error 500 al intentar guardar los cambios en mi suscripcion.",soporte técnico,alta
"Solo quiero comentar lo siguiente, no es urgente. Tienen algun plan especial para estudiantes o para organizaciones sin fines de lucro.",información general,baja
Agradeceria una respuesta en los proximos dias. Esta es la tercera vez que reporto el mismo problema con el sistema y nadie lo resuelve.,queja,media
Me gustaria que lo revisaran esta semana si es posible. el sistema muestra un error de certificado de seguridad al conectarse.,soporte técnico,media
Urgente: El descuento que me ofrecieron no se aplico en la factura 7151.,facturación,alta
"Necesito una solucion ya, esto no puede esperar. El boton de exportar datos no responde en ningun navegador.",soporte técnico,alta
Agradeceria una respuesta en los proximos dias. Quisiera saber si mi cuenta tiene version para empresas.,información general,media
"Sin ninguna prisa, El calendario de el servicio web no sincroniza bien con Google Calendar.",soporte técnico,baja
Esto es una emergencia para mi negocio. Es la peor experiencia que he tenido con un servicio en linea.,queja,alta
"Cuando puedan, sin urgencia: Cuantos usuarios puedo agregar en el plan basico de mi cuenta.",información general,baja
"Necesito una solucion ya, esto no puede esperar. Pedi hablar con un supervisor y me colgaron la llamada.",queja,alta
Me gustaria que lo revisaran esta semana si es posible. La sincronizacion entre el celular y la web de el servicio web no funciona.,soporte técnico,media
"Solo quiero comentar lo siguiente, no es urgente. Pedi hablar con un supervisor y me colgaron la llamada.",queja,baja
"No es una emergencia, pero me gustaria resolverlo pronto. El cupon de descuento que aplique no se ve reflejado en el total a pagar.",facturación,media
Cuanto tiempo tarda en procesarse una solicitud de baja.,información general,media
Me gustaria que lo revisaran esta semana si es posible. Necesito actualizar la tarjeta de credito con la que pago mi suscripcion.,facturación,media
Quisiera saber si la plataforma tiene version para empresas.,información general,media
Esto es una emergencia para mi negocio. Cuantos usuarios puedo agregar en el plan basico de mi suscripcion.,información general,alta
"Sin ninguna prisa, Me siguen cobrando el sistema aunque cancele el servicio hace tiempo.",facturación,baja
Que diferencia hay entre el soporte estandar y el soporte prioritario.,información general,baja
"Es critico, necesito una respuesta hoy mismo. El nivel de servicio ha bajado muchisimo comparado con hace un año.",queja,alta
"Cuando tengan oportunidad, Necesito la factura a nombre de mi empresa, no a mi nombre personal.",facturación,media
"No es una emergencia, pero me gustaria resolverlo pronto. Cuantos usuarios puedo agregar en el plan basico de la plataforma.",información general,media
"No hay prisa alguna, solo queria dejarlo comentado: Donde puedo ver el historial completo de mis pedidos anteriores.",información general,baja
"Por favor prioricen mi caso, es sumamente urgente. Cuanto tiempo tarda en procesarse una solicitud de baja.",información general,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Necesito una copia de la factura del mes pasado para mi contabilidad.",facturación,alta
Quiero cambiar el plan de facturacion de mensual a anual.,facturación,baja
Agradeceria una respuesta en los proximos dias. Como puedo cambiar el correo asociado a mi cuenta.,información general,media
"Cuando tengan oportunidad, El nivel de servicio ha bajado muchisimo comparado con hace un año.",queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. Necesito una copia de la factura del mes pasado para mi contabilidad.",facturación,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Necesito informacion sobre las tarifas para mas de 10 usuarios.",información general,alta
"Cuando tengan oportunidad, la app movil muestra un error de certificado de seguridad al conectarse.",soporte técnico,media
"Es critico, necesito una respuesta hoy mismo. Me prometieron una solucion en 24 horas y ya pasaron 3 dias sin novedades.",queja,alta
"Cuando puedan, sin urgencia: Necesito actualizar la tarjeta de credito con la que pago el servicio web.",facturación,baja
Esto es una emergencia para mi negocio. Nadie en el equipo de soporte parece saber como resolver mi caso.,queja,alta
"Cuando tengan oportunidad, Mi cuenta se cerro sola en medio de una sesion de trabajo, varias veces.",soporte técnico,media
"Es critico, necesito una respuesta hoy mismo. El nivel de servicio ha bajado muchisimo comparado con hace un año.",queja,alta
"No es una emergencia, pero me gustaria resolverlo pronto. La sincronizacion entre el celular y la web de el panel de control no funciona.",soporte técnico,media
En algun momento les agradeceria revisar esto: Que metodos de pago aceptan para mi cuenta.,información general,baja
"Sin ninguna prisa, Necesito informacion sobre las tarifas para mas de 10 usuarios.",información general,baja
"Cuando tengan oportunidad, Cual es la diferencia de precio entre el plan actual y el plan superior.",facturación,media
Me gustaria que lo revisaran esta semana si es posible. El nivel de servicio ha bajado muchisimo comparado con hace un año.,queja,media
"Necesito una solucion ya, esto no puede esperar. Necesito una copia de la factura del mes pasado para mi contabilidad.",facturación,alta
"Solo quiero comentar lo siguiente, no es urgente. Necesito la factura a nombre de mi empresa, no a mi nombre personal.",facturación,baja
"Cuando tengan oportunidad, Que diferencia hay entre el soporte estandar y el soporte prioritario.",información general,media
"No es una emergencia, pero me gustaria resolverlo pronto. Mi factura del pedido 2983 no coincide con el plan que contrate.",facturación,media
"Sin ninguna prisa, Pedi hablar con un supervisor y me colgaron la llamada.",queja,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. El soporte tecnico cerro mi ticket sin resolver el problema.",queja,alta
El sistema muestra un error de certificado de seguridad al conectarse.,soporte técnico,media
"Necesito una solucion ya, esto no puede esperar. Me prometieron una solucion en 24 horas y ya pasaron 7 dias sin novedades.",queja,alta
"Cuando tengan oportunidad, Existe alguna app movil disponible para el plan premium.",información general,media
En algun momento les agradeceria revisar esto: Me aparece un mensaje de error que dice 'token invalido' al entrar.,soporte técnico,baja
"Por favor prioricen mi caso, es sumamente urgente. Podrian confirmarme si el servicio esta disponible en mi pais.",información general,alta
"Es critico, necesito una respuesta hoy mismo. Me prometieron una solucion en 24 horas y ya pasaron 13 dias sin novedades.",queja,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. El calendario de mi suscripcion no sincroniza bien con Google Calendar.",soporte técnico,alta
"Es critico, necesito una respuesta hoy mismo. Recibo el error 500 al intentar guardar los cambios en el plan premium.",soporte técnico,alta
Agradeceria una respuesta en los proximos dias. No recibo las notificaciones push en mi celular desde la actualizacion.,soporte técnico,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Es la peor experiencia que he tenido con un servicio en linea.",queja,alta
"Cuando puedan, sin urgencia: Cuales son los horarios de atencion al cliente.",información general,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Me gustaria saber si puedo pagar la app movil en varias mensualidades.",facturación,media
"Solo quiero comentar lo siguiente, no es urgente. Cuales son los horarios de atencion al cliente.",información general,baja
Me podrian compartir el enlace a la documentacion tecnica de la API.,información general,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Quisiera saber si la app movil tiene version para empresas.",información general,media
"Necesito una solucion ya, esto no puede esperar. No puedo adjuntar archivos mayores a 5 MB en el servicio web.",soporte técnico,alta
